Date,Voucher Type,Amount
15-Dec-21,Receipt,"12,948"
03-Jun-21,Purchase,"59,889"
31-Aug-21,Sales,"73,974"
10-Mar-22,Purchase,"90,012"
16-Feb-22,Receipt,"97,905"
21-Apr-21,Receipt,"32,351"
29-Nov-21,Sales,"36,675"
28-Feb-22,Journal,"88,159"
11-May-21,Sales,"72,963"
15-Jun-21,Payment,"74,159"
05-Feb-22,Sales,"43,685"
02-Jun-21,Payment,"79,839"
05-Jul-21,Sales,"16,256"
13-Jan-22,Payment,"6,000"
30-Sep-21,Receipt,"23,276"
14-Nov-21,Journal,"61,329"
26-Nov-21,Purchase,"25,768"
03-Jan-22,Payment,"51,125"
10-Jun-21,Receipt,"12,752"
25-Jan-22,Payment,"26,488"
31-Jul-21,Journal,"66,591"
16-Mar-22,Receipt,"58,910"
17-Jan-22,Sales,"90,732"
28-Mar-22,Journal,"67,694"
03-Jul-21,Purchase,"86,791"
13-Feb-22,Payment,"68,499"
02-May-21,Sales,"45,220"
26-Nov-21,Payment,"74,948"
27-Jan-22,Payment,"71,324"
09-Jan-22,Sales,"65,483"
10-Dec-21,Purchase,"57,928"
19-Jun-21,Receipt,"76,187"
26-Jan-22,Receipt,"72,870"
28-Sep-21,Journal,"71,253"
02-Nov-21,Purchase,"82,048"
30-Apr-21,Journal,"79,440"
08-Apr-21,Payment,"13,808"
19-Sep-21,Journal,"92,074"
05-Oct-21,Purchase,"99,030"
07-Aug-21,Journal,"92,644"
05-Sep-21,Sales,"54,478"
23-May-21,Purchase,"61,394"
27-Jan-22,Sales,"52,801"
30-Nov-21,Journal,"34,078"
16-Jul-21,Receipt,"1,092"
08-Jul-21,Receipt,"61,415"
08-Feb-22,Journal,"83,715"
20-Jan-22,Sales,"98,586"
05-Mar-22,Receipt,"93,876"
27-Jul-21,Sales,"55,400"
15-May-21,Sales,"85,644"
01-Dec-21,Payment,"24,968"
09-Nov-21,Receipt,"93,195"
15-Feb-22,Sales,"10,082"
21-Sep-21,Purchase,"54,619"
19-Apr-21,Purchase,"57,337"
11-May-21,Payment,"63,466"
19-Apr-21,Purchase,"30,691"
13-Mar-22,Journal,"90,308"
07-Jan-22,Sales,"62,543"
25-Aug-21,Journal,"60,677"
29-Jul-21,Receipt,"35,614"
01-Sep-21,Receipt,"37,078"
14-Mar-22,Journal,"45,373"
27-Jun-21,Sales,"55,897"
22-Mar-22,Payment,"66,869"
10-Mar-22,Journal,"8,633"
03-Apr-21,Journal,"41,693"
18-Jun-21,Journal,"76,131"
27-Nov-21,Payment,"18,461"
02-Aug-21,Receipt,"85,269"
01-May-21,Payment,"91,747"
15-Oct-21,Purchase,"94,413"
21-Feb-22,Purchase,"17,661"
04-Nov-21,Payment,"86,101"
13-Dec-21,Payment,"6,500"
08-Jun-21,Sales,"48,554"
24-Dec-21,Sales,"31,866"
19-Aug-21,Purchase,"89,931"
09-May-21,Purchase,"15,694"
26-Feb-22,Journal,"68,808"
30-Jun-21,Journal,"37,268"
22-Feb-22,Receipt,"87,700"
01-May-21,Journal,"57,725"
06-Apr-21,Receipt,"82,915"
23-May-21,Purchase,"66,370"
16-Nov-21,Receipt,"27,966"
09-Jul-21,Receipt,"60,950"
24-Nov-21,Receipt,"74,684"
24-Oct-21,Journal,"35,554"
02-Mar-22,Receipt,"2,603"
27-Dec-21,Payment,"36,771"
13-Jan-22,Payment,"70,147"
15-Apr-21,Receipt,"54,348"
28-Oct-21,Sales,"16,423"
21-Apr-21,Journal,"1,356"
25-Dec-21,Journal,"90,927"
19-Dec-21,Sales,"47,082"
29-Aug-21,Sales,"79,407"
01-Nov-21,Receipt,"62,954"
13-Mar-22,Journal,"5,394"
09-Nov-21,Journal,"2,992"
11-Jul-21,Sales,"60,103"
07-Nov-21,Journal,"43,486"
27-Feb-22,Journal,"46,821"
09-Nov-21,Journal,"82,451"
25-May-21,Journal,"2,610"
20-Oct-21,Journal,"49,499"
26-Apr-21,Purchase,"49,689"
10-Jan-22,Receipt,"91,722"
27-Aug-21,Purchase,"11,892"
30-Jan-22,Sales,"38,324"
17-Oct-21,Purchase,"93,740"
05-Jun-21,Payment,"11,587"
10-May-21,Receipt,"74,359"
22-Jun-21,Journal,"54,116"
03-Aug-21,Purchase,"12,759"
22-Aug-21,Payment,"83,596"
03-Aug-21,Purchase,"26,057"
13-Apr-21,Sales,"46,935"
22-Apr-21,Journal,"17,475"
19-Nov-21,Journal,"31,605"
19-Jun-21,Sales,"7,876"
10-Oct-21,Journal,"33,626"
18-May-21,Payment,"89,418"
12-Jun-21,Purchase,"60,246"
27-May-21,Receipt,"22,111"
02-Jun-21,Payment,"21,706"
26-Jun-21,Purchase,"58,994"
21-Dec-21,Journal,"76,487"
27-Sep-21,Payment,"41,244"
05-Sep-21,Receipt,"57,607"
09-Aug-21,Receipt,"43,216"
01-Sep-21,Payment,"74,057"
26-Jul-21,Payment,"67,267"
30-Jun-21,Journal,"2,639"
06-Jan-22,Sales,"22,793"
02-Jul-21,Journal,"25,479"
21-Jan-22,Journal,"69,879"
17-Feb-22,Purchase,"70,175"
16-Feb-22,Receipt,"31,409"
21-Feb-22,Purchase,"72,934"
12-May-21,Sales,"63,051"
09-Feb-22,Purchase,"53,614"
28-May-21,Sales,"39,176"
08-Aug-21,Purchase,"65,817"
24-Dec-21,Receipt,"86,378"
07-Oct-21,Journal,"87,538"
30-Jan-22,Sales,"25,564"
26-Jun-21,Journal,"17,115"
07-Nov-21,Purchase,"20,811"
02-Nov-21,Sales,"45,462"
08-Oct-21,Sales,"15,796"
09-Aug-21,Receipt,"67,836"
12-Sep-21,Sales,"1,983"
14-Feb-22,Sales,"22,838"
31-Oct-21,Payment,"25,711"
30-May-21,Payment,"1,658"
07-Jan-22,Purchase,"40,195"
02-Nov-21,Purchase,"84,337"
26-Feb-22,Sales,"68,672"
06-Dec-21,Sales,"47,575"
03-Sep-21,Payment,"87,075"
12-Jul-21,Payment,"53,915"
01-Nov-21,Purchase,"61,287"
30-Jun-21,Sales,"83,467"
23-Aug-21,Payment,"17,134"
11-Jul-21,Sales,"80,742"
12-Jan-22,Purchase,"81,439"
26-Jul-21,Sales,"31,267"
17-Dec-21,Receipt,"50,936"
28-Sep-21,Receipt,"91,653"
15-May-21,Receipt,"93,445"
04-Nov-21,Payment,"43,279"
03-May-21,Receipt,"15,317"
07-Sep-21,Sales,"78,380"
20-Oct-21,Sales,"24,414"
10-Jan-22,Purchase,"61,707"
11-Oct-21,Sales,"65,524"
04-Jan-22,Journal,"51,935"
17-Jun-21,Purchase,"23,341"
22-Dec-21,Journal,"37,733"
22-Sep-21,Purchase,"37,271"
14-Dec-21,Journal,"19,119"
10-Aug-21,Payment,"94,483"
10-May-21,Journal,"12,961"
17-Feb-22,Purchase,"36,226"
04-Sep-21,Sales,"34,589"
18-Sep-21,Sales,"39,897"
16-Jun-21,Journal,"42,380"
20-Sep-21,Purchase,"93,562"
30-Nov-21,Journal,"2,503"
23-Oct-21,Sales,"66,945"
15-Feb-22,Sales,"36,850"
21-Aug-21,Receipt,"54,703"
11-Jan-22,Purchase,"44,807"
04-Jun-21,Purchase,"79,899"
26-Sep-21,Sales,"90,778"
01-Feb-22,Purchase,"94,309"
18-Apr-21,Purchase,"81,779"
28-Jan-22,Sales,"4,362"
23-Nov-21,Purchase,"89,912"
20-Apr-21,Purchase,"69,045"
16-Sep-21,Purchase,"90,347"
11-Sep-21,Receipt,"90,889"
12-May-21,Receipt,"75,259"
08-Jan-22,Purchase,"74,187"
15-Jan-22,Purchase,"1,962"
26-May-21,Receipt,"80,642"
15-Apr-21,Receipt,"76,469"
11-Nov-21,Payment,"17,550"
04-Jul-21,Receipt,"69,256"
14-Oct-21,Payment,"20,551"
22-Feb-22,Journal,"12,822"
06-Mar-22,Purchase,"84,274"
22-Sep-21,Journal,"80,575"
10-May-21,Receipt,"76,338"
26-Apr-21,Payment,"31,020"
13-Jul-21,Receipt,"72,030"
13-Jan-22,Sales,"10,151"
04-Jan-22,Receipt,"61,992"
13-Dec-21,Payment,"49,121"
08-Jul-21,Sales,"50,279"
23-Jan-22,Purchase,"76,744"
18-Feb-22,Sales,"40,183"
11-Nov-21,Payment,"39,396"
24-Dec-21,Sales,"9,204"
01-Sep-21,Purchase,"9,126"
22-Aug-21,Payment,"96,394"
09-Jul-21,Payment,"30,070"
07-Aug-21,Sales,"27,095"
24-Dec-21,Receipt,"69,146"
07-Jun-21,Sales,"71,264"
19-Jul-21,Journal,"50,476"
12-Mar-22,Sales,"28,115"
28-Feb-22,Journal,"55,420"
07-Feb-22,Receipt,"86,531"
19-Apr-21,Receipt,"10,628"
29-Jul-21,Payment,"63,403"
30-Oct-21,Sales,"42,036"
08-May-21,Receipt,"90,328"
22-Feb-22,Journal,"25,629"
26-Dec-21,Payment,"46,348"
04-Sep-21,Payment,"55,979"
24-Sep-21,Payment,"45,395"
13-Jul-21,Purchase,"97,002"
02-Apr-21,Payment,"31,081"
14-Mar-22,Receipt,"62,016"
03-Jun-21,Receipt,"12,566"
05-Mar-22,Payment,"36,584"
08-Oct-21,Purchase,"65,580"
26-Dec-21,Receipt,"29,896"
13-May-21,Sales,"59,309"
27-Feb-22,Sales,"99,814"
04-Dec-21,Payment,"97,068"
20-May-21,Sales,"37,663"
23-Dec-21,Receipt,"71,148"
30-Mar-22,Journal,"70,121"
20-Jan-22,Sales,"94,690"
13-Sep-21,Receipt,"74,827"
28-Mar-22,Purchase,"74,556"
10-May-21,Purchase,"33,296"
25-Jul-21,Journal,"91,394"
14-Apr-21,Sales,"40,756"
09-Apr-21,Purchase,"24,565"
30-Mar-22,Purchase,"68,757"
21-Apr-21,Purchase,"40,885"
20-Aug-21,Purchase,"3,218"
07-Jun-21,Journal,"12,512"
17-Apr-21,Receipt,"92,129"
15-Jan-22,Journal,"52,809"
11-Aug-21,Journal,"73,393"
10-Jan-22,Sales,"93,158"
11-Mar-22,Payment,"78,197"
25-Apr-21,Purchase,"79,783"
12-Jun-21,Purchase,"75,898"
15-Feb-22,Journal,"19,576"
16-Mar-22,Payment,"25,927"
19-Nov-21,Sales,"62,170"
15-Sep-21,Sales,"19,883"
14-Sep-21,Journal,"83,087"
15-Nov-21,Receipt,"59,565"
22-Sep-21,Journal,"74,940"
04-Oct-21,Payment,"88,722"
06-Apr-21,Sales,"3,982"
26-Aug-21,Receipt,"12,261"
26-Sep-21,Journal,"97,195"
23-Feb-22,Sales,"82,730"
19-Mar-22,Receipt,"1,070"
01-Sep-21,Receipt,"35,733"
25-Jun-21,Sales,"77,032"
26-Aug-21,Journal,"65,511"
17-Aug-21,Payment,"68,932"
12-Aug-21,Sales,"84,875"
10-Sep-21,Purchase,"95,325"
03-Jan-22,Journal,"91,117"
15-Jun-21,Sales,"43,700"
27-Jun-21,Journal,"50,578"
16-Nov-21,Journal,"16,288"
09-Jul-21,Receipt,"2,059"
26-Sep-21,Purchase,"49,237"
11-Feb-22,Receipt,"76,763"
10-Dec-21,Payment,"69,022"
21-Mar-22,Journal,"67,692"
06-Feb-22,Purchase,"93,769"
01-Aug-21,Journal,"63,657"
04-Feb-22,Receipt,"20,546"
05-Mar-22,Journal,"58,296"
20-Oct-21,Payment,"90,601"
08-Aug-21,Receipt,"96,480"
24-May-21,Payment,"27,437"
21-Oct-21,Sales,"51,110"
09-Aug-21,Journal,"80,187"
26-Sep-21,Payment,"95,184"
11-Nov-21,Receipt,"46,700"
27-Sep-21,Receipt,"29,940"
05-Jul-21,Journal,"50,479"
22-Nov-21,Payment,"47,264"
26-Mar-22,Journal,"65,277"
13-Oct-21,Journal,"27,163"
07-Dec-21,Receipt,"52,483"
08-Jun-21,Purchase,"72,782"
14-Apr-21,Sales,"19,128"
02-Dec-21,Journal,"72,791"
05-Apr-21,Sales,"24,511"
24-May-21,Sales,"14,578"
09-Jul-21,Sales,"84,805"
14-Sep-21,Purchase,"7,385"
26-Aug-21,Payment,"85,482"
31-May-21,Journal,"54,831"
30-Jun-21,Sales,"33,437"
23-Oct-21,Payment,"5,711"
18-Nov-21,Purchase,"87,539"
10-Feb-22,Journal,"17,665"
29-Dec-21,Sales,"96,541"
14-Oct-21,Receipt,"81,864"
17-Apr-21,Receipt,"99,722"
13-Mar-22,Sales,"6,738"
08-May-21,Sales,"69,467"
18-Apr-21,Purchase,"3,529"
23-Oct-21,Sales,"1,776"
24-Apr-21,Purchase,"53,992"
22-Mar-22,Receipt,"61,847"
03-Oct-21,Journal,"88,835"
28-May-21,Receipt,"95,413"
28-Jun-21,Sales,"47,579"
31-Jan-22,Sales,"80,046"
13-Aug-21,Receipt,"98,681"
30-Jun-21,Sales,"95,695"
22-Sep-21,Receipt,"17,127"
31-Aug-21,Payment,"44,239"
10-Sep-21,Journal,"38,705"
25-Jul-21,Payment,"55,705"
27-Mar-22,Journal,"3,362"
23-Feb-22,Receipt,"40,268"
04-Oct-21,Sales,"49,026"
29-Jun-21,Receipt,"27,814"
04-May-21,Payment,"51,931"
04-Jun-21,Sales,"30,909"
29-Oct-21,Purchase,"31,490"
29-Dec-21,Purchase,"35,741"
11-Mar-22,Sales,"63,156"
08-Jul-21,Journal,"61,291"
19-May-21,Purchase,"9,721"
29-Apr-21,Journal,"51,523"
23-Jul-21,Purchase,"56,111"
02-Dec-21,Payment,"87,935"
16-Feb-22,Sales,"36,907"
30-Sep-21,Sales,"99,440"
21-Sep-21,Sales,"86,287"
27-Sep-21,Payment,"81,848"
19-Jun-21,Purchase,"65,342"
05-Jul-21,Journal,"59,098"
13-Apr-21,Receipt,"89,915"
28-Jan-22,Journal,"49,123"
25-Nov-21,Sales,"99,118"
18-Sep-21,Journal,"73,766"
05-Apr-21,Purchase,"3,843"
22-Nov-21,Journal,"13,006"
17-Jun-21,Purchase,"70,016"
24-Aug-21,Purchase,"96,914"
15-Jun-21,Purchase,"65,992"
04-Apr-21,Journal,"74,024"
30-Sep-21,Purchase,"38,909"
18-May-21,Journal,"73,789"
16-Dec-21,Receipt,"5,748"
05-May-21,Journal,"56,844"
03-Jan-22,Sales,"81,225"
08-Oct-21,Sales,"49,631"
18-Jan-22,Sales,"82,138"
06-Mar-22,Journal,"79,799"
28-Feb-22,Journal,"16,775"
18-Jun-21,Payment,"32,701"
22-Oct-21,Sales,"93,995"
08-Jun-21,Payment,"62,194"
19-May-21,Receipt,"80,553"
15-Apr-21,Receipt,"92,534"
27-Aug-21,Payment,"29,466"
21-Feb-22,Sales,"34,074"
11-Oct-21,Sales,"20,702"
18-Sep-21,Sales,"91,681"
03-Sep-21,Purchase,"18,692"
19-Jun-21,Receipt,"71,597"
13-Feb-22,Payment,"21,189"
29-Apr-21,Receipt,"53,919"
19-Apr-21,Purchase,"16,340"
02-Jun-21,Payment,"31,226"
23-Dec-21,Sales,"87,831"
22-Dec-21,Payment,"86,489"
30-Jan-22,Sales,"5,757"
12-Nov-21,Receipt,"32,110"
28-Jun-21,Sales,"46,971"
13-Feb-22,Journal,"59,774"
20-Dec-21,Journal,"13,737"
18-Dec-21,Payment,"73,077"
11-Apr-21,Sales,"35,808"
19-Jul-21,Purchase,"26,374"
05-Oct-21,Sales,"6,265"
25-Apr-21,Sales,"46,057"
16-Mar-22,Journal,"17,608"
10-Oct-21,Sales,"68,615"
10-Nov-21,Purchase,"41,266"
28-Nov-21,Sales,"90,366"
01-Dec-21,Purchase,"69,805"
31-Oct-21,Receipt,"29,669"
04-Feb-22,Payment,"47,774"
08-Dec-21,Purchase,"85,792"
21-Nov-21,Purchase,"57,050"
07-Mar-22,Receipt,"31,035"
16-Feb-22,Journal,"95,929"
13-Jan-22,Sales,"13,970"
28-Sep-21,Payment,"86,800"
15-Nov-21,Purchase,"45,424"
05-May-21,Journal,"6,331"
27-Jun-21,Purchase,"4,452"
12-Apr-21,Sales,"97,431"
03-Jul-21,Journal,"69,004"
07-Jun-21,Purchase,"1,059"
07-Aug-21,Sales,"13,672"
14-Sep-21,Purchase,"70,758"
29-Oct-21,Sales,"89,501"
05-Oct-21,Payment,"17,625"
21-Aug-21,Receipt,"61,853"
19-Dec-21,Payment,"93,884"
03-Dec-21,Sales,"80,925"
18-Feb-22,Journal,"5,193"
14-Jun-21,Journal,"48,361"
20-May-21,Purchase,"89,387"
06-Nov-21,Journal,"50,709"
08-Oct-21,Journal,"11,858"
24-Apr-21,Journal,"19,757"
27-Feb-22,Payment,"64,177"
03-Aug-21,Payment,"66,170"
09-Jun-21,Journal,"33,368"
26-Oct-21,Purchase,"46,027"
28-Jun-21,Sales,"74,325"
03-Sep-21,Receipt,"66,196"
07-May-21,Sales,"57,633"
12-Nov-21,Purchase,"89,845"
09-Oct-21,Sales,"43,090"
27-Dec-21,Journal,"89,927"
29-Jan-22,Journal,"28,367"
14-Feb-22,Payment,"36,162"
03-Oct-21,Sales,"60,221"
29-Jun-21,Sales,"39,335"
07-Dec-21,Journal,"88,792"
16-Jun-21,Receipt,"57,922"
06-Aug-21,Journal,"18,335"
15-Feb-22,Journal,"74,884"
02-Mar-22,Receipt,"44,175"
07-Jan-22,Purchase,"79,943"
05-May-21,Payment,"47,822"
04-Oct-21,Purchase,"6,756"
18-Feb-22,Journal,"53,210"
30-Jan-22,Receipt,"80,720"
30-Jul-21,Journal,"15,217"
05-Feb-22,Payment,"19,229"
19-Jun-21,Purchase,"84,843"
14-Jan-22,Sales,"44,919"
27-Sep-21,Payment,"24,772"
09-Sep-21,Journal,"21,295"
10-Dec-21,Journal,"91,544"
20-Sep-21,Sales,"18,113"
09-Feb-22,Receipt,"78,039"
26-Apr-21,Receipt,"72,393"
13-Oct-21,Purchase,"13,300"
16-Mar-22,Payment,"5,995"
08-Oct-21,Journal,"38,792"
16-Mar-22,Receipt,"49,623"
01-Dec-21,Payment,"2,561"
24-May-21,Sales,"28,234"
30-May-21,Purchase,"61,823"
08-Apr-21,Purchase,"93,855"
20-Feb-22,Sales,"45,132"
24-Oct-21,Journal,"70,359"
30-Sep-21,Payment,"42,211"
17-Feb-22,Sales,"38,415"
08-Mar-22,Sales,"50,263"
07-Sep-21,Journal,"91,140"
13-Jun-21,Sales,"94,230"
24-Feb-22,Purchase,"18,091"
01-Dec-21,Journal,"62,022"
09-Oct-21,Sales,"50,063"
20-Jun-21,Sales,"98,190"
21-Mar-22,Receipt,"12,805"
31-Dec-21,Receipt,"34,915"
07-Jun-21,Payment,"82,810"
07-Feb-22,Journal,"39,461"
03-Feb-22,Receipt,"13,721"
31-Mar-22,Purchase,"65,433"
06-Nov-21,Receipt,"25,742"
27-May-21,Journal,"66,972"
19-Oct-21,Purchase,"83,297"
04-Dec-21,Purchase,"18,261"
10-Sep-21,Sales,"44,064"
21-Dec-21,Sales,"1,634"
12-Apr-21,Journal,"68,117"
18-Jan-22,Journal,"63,065"
03-Dec-21,Payment,"35,282"
27-Jun-21,Sales,"64,029"
24-May-21,Purchase,"55,490"
31-Aug-21,Purchase,"46,707"
24-Nov-21,Sales,"42,453"
06-Dec-21,Receipt,"29,882"
05-Jun-21,Payment,"64,556"
24-Apr-21,Receipt,"37,127"
03-Jan-22,Purchase,"16,025"
05-Mar-22,Purchase,"36,082"
08-Apr-21,Receipt,"38,502"
12-Aug-21,Sales,"80,058"
10-Sep-21,Sales,"43,287"
03-Oct-21,Purchase,"44,316"
01-Dec-21,Journal,"29,697"
19-Jun-21,Sales,"89,861"
28-Jul-21,Receipt,"16,338"
09-Jul-21,Journal,"93,524"
12-Nov-21,Journal,"28,983"
09-Dec-21,Purchase,"98,415"
27-Jul-21,Receipt,"36,699"
04-Mar-22,Journal,"54,803"
09-Aug-21,Journal,"34,172"
28-Nov-21,Sales,"37,302"
06-Jul-21,Journal,"55,712"
10-Jul-21,Sales,"89,704"
15-Jul-21,Payment,"13,508"
23-Dec-21,Payment,"22,615"
01-Sep-21,Payment,"62,733"
12-Jul-21,Journal,"41,417"
16-Jan-22,Journal,"50,098"
08-Jan-22,Sales,"43,371"
28-Dec-21,Journal,"40,983"
01-Jul-21,Receipt,"47,349"
02-Aug-21,Purchase,"47,674"
31-Dec-21,Purchase,"52,364"
12-Aug-21,Sales,"69,445"
05-Sep-21,Payment,"85,260"
07-Nov-21,Purchase,"77,620"
01-Mar-22,Sales,"76,163"
10-Oct-21,Payment,"49,921"
02-Apr-21,Sales,"32,803"
19-Dec-21,Sales,"5,062"
05-Nov-21,Sales,"8,350"
28-Mar-22,Journal,"40,839"
28-Feb-22,Purchase,"79,419"
06-Sep-21,Journal,"67,019"
22-Apr-21,Sales,"12,190"
27-Sep-21,Journal,"21,993"
28-Feb-22,Payment,"12,420"
01-Aug-21,Payment,"10,895"
04-Sep-21,Sales,"7,014"
30-Oct-21,Purchase,"79,247"
29-May-21,Sales,"67,673"
12-Jan-22,Sales,"24,541"
20-Jul-21,Receipt,"15,866"
06-Jul-21,Journal,"27,483"
11-Nov-21,Purchase,"57,148"
06-Jun-21,Sales,"68,111"
16-Jul-21,Journal,"45,818"
19-Aug-21,Payment,"56,894"
22-Jun-21,Journal,"66,744"
06-Apr-21,Purchase,"79,984"
10-Jan-22,Purchase,"92,298"
09-Feb-22,Purchase,"15,385"
25-Jan-22,Payment,"81,501"
26-Jun-21,Sales,"68,166"
28-Jul-21,Receipt,"76,126"
28-Sep-21,Journal,"96,018"
22-May-21,Receipt,"2,531"
17-Oct-21,Receipt,"77,090"
19-Dec-21,Purchase,"3,417"
20-Jul-21,Journal,"15,703"
24-Feb-22,Journal,"51,944"
02-Feb-22,Payment,"39,333"
31-Aug-21,Receipt,"43,860"
25-Aug-21,Journal,"93,770"
04-Apr-21,Journal,"6,829"
17-Nov-21,Payment,"20,583"
09-Oct-21,Sales,"94,514"
15-Jan-22,Journal,"6,541"
11-Jul-21,Receipt,"7,788"
28-Mar-22,Payment,"67,536"
30-Dec-21,Sales,"17,830"
30-Sep-21,Receipt,"60,589"
11-May-21,Sales,"81,185"
16-Feb-22,Purchase,"38,160"
08-Aug-21,Purchase,"50,256"
22-Feb-22,Journal,"9,137"
15-Jan-22,Sales,"14,691"
12-Jun-21,Payment,"79,306"
30-Apr-21,Purchase,"43,160"
31-Dec-21,Purchase,"68,736"
24-Dec-21,Sales,"34,570"
31-May-21,Receipt,"74,362"
18-Feb-22,Purchase,"57,453"
11-Jun-21,Payment,"86,055"
09-Sep-21,Payment,"47,218"
04-Apr-21,Journal,"12,934"
16-Jan-22,Payment,"99,388"
25-Nov-21,Sales,"55,487"
31-May-21,Purchase,"55,523"
30-Jun-21,Sales,"14,744"
15-Jul-21,Payment,"97,739"
30-Apr-21,Journal,"41,957"
07-May-21,Journal,"26,432"
04-Dec-21,Purchase,"22,028"
01-Oct-21,Journal,"95,750"
11-Oct-21,Receipt,"50,807"
28-Feb-22,Sales,"19,942"
07-Nov-21,Journal,"37,879"
05-Sep-21,Payment,"13,871"
14-Aug-21,Purchase,"37,528"
22-Jun-21,Sales,"99,773"
28-Jul-21,Receipt,"24,046"
04-Oct-21,Payment,"89,041"
02-Jan-22,Journal,"21,235"
04-Mar-22,Payment,"73,847"
12-Oct-21,Journal,"6,564"
29-Jun-21,Sales,"42,113"
26-Feb-22,Receipt,"9,200"
26-Jan-22,Payment,"37,334"
28-Sep-21,Receipt,"39,483"
29-Jan-22,Journal,"80,596"
21-Jun-21,Purchase,"18,361"
24-May-21,Sales,"96,561"
30-Aug-21,Purchase,"95,551"
07-Nov-21,Payment,"14,967"
27-Sep-21,Receipt,"17,467"
19-Apr-21,Sales,"21,301"
12-Dec-21,Sales,"12,240"
10-Mar-22,Payment,"9,803"
11-Sep-21,Sales,"9,282"
24-May-21,Journal,"17,178"
05-Sep-21,Payment,"72,278"
17-Feb-22,Journal,"46,351"
13-Jul-21,Sales,"83,418"
16-May-21,Purchase,"44,740"
11-Feb-22,Receipt,"31,103"
09-Sep-21,Sales,"30,019"
27-May-21,Receipt,"53,805"
22-Mar-22,Payment,"87,251"
27-Mar-22,Sales,"66,849"
08-Jul-21,Purchase,"81,953"
20-Jan-22,Receipt,"83,819"
14-Apr-21,Purchase,"92,733"
02-Nov-21,Journal,"55,349"
20-May-21,Payment,"96,428"
25-Jun-21,Purchase,"83,145"
04-Jun-21,Receipt,"90,303"
16-Jul-21,Payment,"17,907"
28-Dec-21,Journal,"83,330"
25-Dec-21,Sales,"52,393"
15-Oct-21,Purchase,"78,514"
03-Jan-22,Receipt,"72,513"
08-Jun-21,Payment,"77,964"
30-Aug-21,Purchase,"86,224"
07-Feb-22,Receipt,"34,039"
08-Dec-21,Sales,"44,668"
02-Jul-21,Payment,"82,294"
23-Oct-21,Receipt,"64,029"
24-Dec-21,Purchase,"75,319"
17-Jun-21,Purchase,"45,362"
27-Mar-22,Payment,"6,699"
02-Dec-21,Sales,"7,167"
27-Nov-21,Sales,"59,767"
23-Oct-21,Payment,"93,701"
11-Sep-21,Journal,"9,610"
15-Feb-22,Receipt,"31,900"
12-Dec-21,Payment,"23,260"
19-Sep-21,Receipt,"17,987"
01-Feb-22,Sales,"48,072"
04-Mar-22,Sales,"52,406"
08-Jun-21,Receipt,"70,975"
07-Feb-22,Purchase,"85,253"
28-Dec-21,Purchase,"20,721"
05-Jul-21,Receipt,"16,700"
05-Dec-21,Sales,"26,201"
29-Aug-21,Payment,"7,172"
16-Aug-21,Receipt,"32,562"
03-Nov-21,Purchase,"26,521"
21-Dec-21,Sales,"88,985"
12-Nov-21,Sales,"58,867"
05-Oct-21,Journal,"85,803"
30-Aug-21,Receipt,"54,878"
30-Nov-21,Sales,"7,313"
16-Sep-21,Payment,"37,854"
26-Jul-21,Journal,"19,175"
18-Sep-21,Journal,"43,410"
14-Apr-21,Payment,"31,249"
08-Oct-21,Journal,"21,592"
09-Dec-21,Purchase,"38,859"
03-Jan-22,Payment,"32,998"
16-May-21,Journal,"64,468"
18-Sep-21,Journal,"7,718"
06-May-21,Purchase,"22,488"
31-Aug-21,Sales,"68,695"
15-May-21,Purchase,"10,807"
08-May-21,Payment,"27,364"
28-Jan-22,Receipt,"42,647"
23-Mar-22,Sales,"17,881"
14-Mar-22,Sales,"66,566"
12-Jun-21,Payment,"61,424"
20-Jun-21,Purchase,"53,940"
13-Dec-21,Purchase,"16,462"
11-Nov-21,Receipt,"21,579"
13-Nov-21,Purchase,"37,327"
06-Sep-21,Receipt,"60,145"
28-Oct-21,Receipt,"17,701"
14-Mar-22,Receipt,"56,439"
22-Nov-21,Receipt,"96,725"
07-Dec-21,Payment,"69,217"
24-Jul-21,Payment,"36,006"
08-Jul-21,Journal,"19,048"
17-Apr-21,Journal,"97,114"
17-Jul-21,Sales,"38,550"
26-Oct-21,Payment,"23,311"
09-Nov-21,Payment,"37,736"
18-Dec-21,Journal,"44,427"
22-Apr-21,Receipt,"23,646"
09-Mar-22,Receipt,"42,830"
21-Jul-21,Journal,"70,435"
14-Sep-21,Payment,"36,139"
21-Oct-21,Journal,"56,508"
12-Dec-21,Payment,"94,812"
14-Jan-22,Purchase,"92,975"
16-Apr-21,Purchase,"86,017"
03-Oct-21,Purchase,"75,106"
04-Sep-21,Journal,"3,914"
04-Apr-21,Purchase,"59,399"
26-Jan-22,Journal,"40,903"
22-Dec-21,Sales,"12,114"
13-Nov-21,Purchase,"83,389"
08-Dec-21,Purchase,"6,470"
03-Jan-22,Payment,"1,674"
14-May-21,Payment,"65,970"
29-Mar-22,Journal,"28,375"
06-May-21,Payment,"69,451"
30-Jul-21,Purchase,"56,206"
23-Jul-21,Receipt,"63,508"
21-Feb-22,Journal,"9,617"
24-Jun-21,Sales,"29,771"
04-Feb-22,Journal,"73,309"
12-May-21,Sales,"55,182"
02-Apr-21,Sales,"32,735"
15-Nov-21,Payment,"45,794"
07-Sep-21,Sales,"97,946"
30-Apr-21,Receipt,"75,380"
30-Dec-21,Receipt,"14,523"
